date,site,visit_number,quadrat,flower_species,inflorescene_type,avg_flow_inflorescene,num_plants,num_flower
6/16/2020,flag_lowden,1,1,HETVIL,flower,1,1,4
6/16/2020,flag_lowden,1,2,ERIANN,flower,1,1,12
6/16/2020,flag_lowden,1,2,BLECIL,whorl,22,5,48
6/16/2020,flag_lowden,1,3,CORLAN,flower,1,1,3
6/16/2020,flag_lowden,1,4,PENDIG,flower,1,2,12
6/16/2020,flag_lowden,1,5,CORLAN,flower,1,1,4
6/16/2020,flag_lowden,1,6,None,na,0,0,0
6/16/2020,flag_lowden,1,7,BLECIL,whorl,1,9,164
6/16/2020,flag_lowden,1,8,ERIANN,flower,1,1,16
6/16/2020,flag_lowden,1,9,TRIPRA,head,40,na,8
6/16/2020,flag_lowden,1,9,ERISTR,flower,1,1,1
6/16/2020,flag_lowden,1,10,PENDIG,flower,1,3,32
6/16/2020,clear_creek_knolls,1,1,TRIPRA,head,92,na,46
6/16/2020,clear_creek_knolls,1,2,PENDIG,flower,1,2,23
6/16/2020,clear_creek_knolls,1,2,ACHMIL,head,75,1,1
6/16/2020,clear_creek_knolls,1,3,TRIPRA,head,92,na,7
6/16/2020,clear_creek_knolls,1,3,PENDIG,flower,1,2,30
6/16/2020,clear_creek_knolls,1,3,TRAOHI,flower,1,1,1
6/16/2020,clear_creek_knolls,1,4,TRIHYB,head,15,na,6
6/16/2020,clear_creek_knolls,1,5,PENDIG,flower,1,7,60
6/16/2020,clear_creek_knolls,1,5,TRIPRA,head,92,na,3
6/16/2020,clear_creek_knolls,1,6,PENDIG,flower,1,1,10
6/16/2020,clear_creek_knolls,1,7,PENDIG,flower,1,7,113
6/16/2020,clear_creek_knolls,1,8,TRIPRA,head,92,na,49
6/16/2020,clear_creek_knolls,1,8,TRIHYB,head,15,na,37
6/16/2020,clear_creek_knolls,1,8,PENDIG,flower,1,5,60
6/16/2020,clear_creek_knolls,1,9,PENDIG,flower,1,3,42
6/16/2020,clear_creek_knolls,1,10,PENDIG,flower,1,3,182
6/16/2020,clear_creek_knolls,1,10,TRIHYB,head,15,na,9
6/17/2020,rolling_thunder,1,1,ERISTR,flower,1,3,89
6/17/2020,rolling_thunder,1,1,ACHMIL,head,68,1,1
6/17/2020,rolling_thunder,1,1,TRIPRA,head,95,na,5
6/17/2020,rolling_thunder,1,1,CORLAN,flower,1,1,1
6/17/2020,rolling_thunder,1,2,TRIPRA,head,95,na,25
6/17/2020,rolling_thunder,1,2,ACHMIL,head,68,2,6
6/17/2020,rolling_thunder,1,3,TRIPRA,head,95,na,5
6/17/2020,rolling_thunder,1,3,ANEVIR,flower,1,1,1
6/17/2020,rolling_thunder,1,4,TRIPRA,head,95,na,19
6/17/2020,rolling_thunder,1,5,TRIPRA,head,95,na,17
6/17/2020,rolling_thunder,1,5,TRIHYB,head,32,na,25
6/17/2020,rolling_thunder,1,6,TRIPRA,head,95,na,30
6/17/2020,rolling_thunder,1,6,PENDIG,head,1,1,1
6/17/2020,rolling_thunder,1,7,TRIPRA,head,95,na,7
6/17/2020,rolling_thunder,1,8,ERIANN,flower,1,2,7
6/17/2020,rolling_thunder,1,8,TRIPRA,head,95,na,33
6/17/2020,rolling_thunder,1,9,ERISTR,flower,1,1,4
6/17/2020,rolling_thunder,1,9,TRIPRA,head,95,na,36
6/17/2020,rolling_thunder,1,9,ACHMIL,head,68,1,1
6/17/2020,rolling_thunder,1,10,TRIPRA,head,95,na,21
6/17/2020,rolling_thunder,1,10,ACHMIL,head,68,1,1
6/17/2020,rolling_thunder,1,10,POLPOL,flower,1,4,20
6/17/2020,naylor_road,1,1,ERIANN,flower,1,1,3
6/17/2020,naylor_road,1,2,PENDIG,flower,1,3,35
6/17/2020,naylor_road,1,2,TRIHYB,head,34,na,8
6/17/2020,naylor_road,1,3,PENDIG,flower,1,5,75
6/17/2020,naylor_road,1,4,PENDIG,flower,1,2,14
6/17/2020,naylor_road,1,5,PENDIG,flower,1,2,46
6/17/2020,naylor_road,1,6,PENDIG,flower,1,2,47
6/17/2020,naylor_road,1,7,PENDIG,flower,1,2,8
6/17/2020,naylor_road,1,8,PENDIG,flower,1,4,52
6/17/2020,naylor_road,1,9,PENDIG,flower,1,4,35
6/17/2020,naylor_road,1,10,PENDIG,flower,1,2,26
6/17/2020,naylor_road,1,10,TRIHYB,head,34,na,7
6/17/2020,big_jump_east,1,1,LOTCOR,flower,1,na,42
6/17/2020,big_jump_east,1,1,PLALAN,spike,20,5,15
6/17/2020,big_jump_east,1,1,TRIHYB,head,15,na,4
6/17/2020,big_jump_east,1,1,ACHMIL,head,146,1,1
6/17/2020,big_jump_east,1,2,ACHMIL,head,146,4,12
6/17/2020,big_jump_east,1,2,LOTCOR,flower,1,na,13
6/17/2020,big_jump_east,1,2,POTREC,flower,1,1,1
6/17/2020,big_jump_east,1,3,ACHMIL,head,146,3,6
6/17/2020,big_jump_east,1,3,LOTCOR,flower,1,na,109
6/17/2020,big_jump_east,1,3,ERISTR,flower,1,4,123
6/17/2020,big_jump_east,1,4,ACHMIL,head,146,7,15
6/17/2020,big_jump_east,1,4,LOTCOR,flower,1,na,311
6/17/2020,big_jump_east,1,4,ERISTR,flower,1,3,36
6/17/2020,big_jump_east,1,5,ACHMIL,head,146,5,15
6/17/2020,big_jump_east,1,5,LOTCOR,flower,1,na,117
6/17/2020,big_jump_east,1,5,ERISTR,flower,1,1,10
6/17/2020,big_jump_east,1,6,ACHMIL,head,146,5,15
6/17/2020,big_jump_east,1,6,TRIPRA,head,33,na,4
6/17/2020,big_jump_east,1,6,LOTCOR,flower,1,na,150
6/17/2020,big_jump_east,1,7,ACHMIL,head,146,2,4
6/17/2020,big_jump_east,1,7,LOTCOR,flower,1,na,16
6/17/2020,big_jump_east,1,7,TRIHYB,head,15,na,37
6/17/2020,big_jump_east,1,7,POTREC,flower,1,1,2
6/17/2020,big_jump_east,1,8,TRIPRA,head,33,na,32
6/17/2020,big_jump_east,1,8,LOTCOR,flower,1,na,55
6/17/2020,big_jump_east,1,9,ACHMIL,head,146,1,3
6/17/2020,big_jump_east,1,9,LOTCOR,flower,1,na,85
6/17/2020,big_jump_east,1,9,TRIPRA,head,33,na,2
6/17/2020,big_jump_east,1,9,TRIHYB,head,15,na,8
6/17/2020,big_jump_east,1,10,ERIANN,flower,1,4,29
6/17/2020,big_jump_east,1,10,TRIPRA,head,33,na,23
6/17/2020,big_jump_east,1,10,TRIHYB,head,15,na,16
6/17/2020,big_jump_east,1,10,LOTCOR,flower,1,na,3
6/17/2020,big_jump_east,1,10,ACHMIL,head,146,1,3
6/17/2020,big_jump_east,1,10,TRIREP,head,17,na,1
6/18/2020,prairie_potholes,1,1,PENDIG,flower,1,5,33
6/18/2020,prairie_potholes,1,1,LOBSPI,flower,1,1,6
6/18/2020,prairie_potholes,1,2,PENDIG,flower,1,41,88
6/18/2020,prairie_potholes,1,2,TRIHYB,head,32,na,8
6/18/2020,prairie_potholes,1,3,PENDIG,flower,1,6,47
6/18/2020,prairie_potholes,1,3,TRIHYB,head,32,na,27
6/18/2020,prairie_potholes,1,3,LOBSPI,flower,1,1,19
6/18/2020,prairie_potholes,1,4,PENDIG,flower,1,4,47
6/18/2020,prairie_potholes,1,5,PENDIG,flower,1,4,43
6/18/2020,prairie_potholes,1,5,TRIPRA,head,49,na,4
6/18/2020,prairie_potholes,1,5,TRIHYB,head,32,na,2
6/18/2020,prairie_potholes,1,6,PENDIG,flower,1,3,32
6/18/2020,prairie_potholes,1,6,TRIHYB,head,32,na,27
6/18/2020,prairie_potholes,1,7,TRIPRA,head,49,na,41
6/18/2020,prairie_potholes,1,7,TRIHYB,head,32,na,26
6/18/2020,prairie_potholes,1,7,ERISTR,flower,1,2,14
6/18/2020,prairie_potholes,1,8,TRIPRA,head,49,na,3
6/18/2020,prairie_potholes,1,8,PENDIG,flower,1,3,25
6/18/2020,prairie_potholes,1,9,PENDIG,flower,1,4,20
6/18/2020,prairie_potholes,1,9,TRIPRA,head,49,na,26
6/18/2020,prairie_potholes,1,9,TRIHYB,head,32,na,3
6/18/2020,prairie_potholes,1,10,PENDIG,flower,1,2,9
6/18/2020,prairie_potholes,1,10,TRIHYB,head,32,na,45
6/18/2020,east_heinkel,1,1,ECHPAL,flower,1,1,1
6/18/2020,east_heinkel,1,1,TRIPRA,head,24,na,7
6/18/2020,east_heinkel,1,1,TRIREP,head,21,na,2
6/18/2020,east_heinkel,1,2,TRIPRA,head,24,na,4
6/18/2020,east_heinkel,1,2,ERISTR,flower,1,4,21
6/18/2020,east_heinkel,1,3,TRIHYB,head,24,na,12
6/18/2020,east_heinkel,1,3,ANECYL,flower,1,1,1
6/18/2020,east_heinkel,1,4,MEDLUP,flower,1,na,6
6/18/2020,east_heinkel,1,5,PENDIG,flower,1,3,37
6/18/2020,east_heinkel,1,5,TRIPRA,head,24,na,2
6/18/2020,east_heinkel,1,5,ANECYL,flower,1,1,1
6/18/2020,east_heinkel,1,5,TRIHYB,head,24,na,1
6/18/2020,east_heinkel,1,6,ECHPAL,flower,1,1,1
6/18/2020,east_heinkel,1,6,TRIHYB,head,24,na,12
6/18/2020,east_heinkel,1,7,ERISTR,flower,1,1,13
6/18/2020,east_heinkel,1,7,TRIPRA,head,24,na,45
6/18/2020,east_heinkel,1,7,TRIHYB,head,24,na,12
6/18/2020,east_heinkel,1,8,TRIPRA,head,24,na,73
6/18/2020,east_heinkel,1,8,ANECYL,flower,1,1,1
6/18/2020,east_heinkel,1,9,TRIPRA,head,24,na,17
6/18/2020,east_heinkel,1,9,ERISTR,flower,1,2,4
6/18/2020,east_heinkel,1,10,ECHPAL,flower,1,1,1
6/18/2020,east_heinkel,1,10,TRIPRA,head,24,na,1
6/18/2020,bishop_south,1,1,PENDIG,flower,1,2,24
6/18/2020,bishop_south,1,2,PENDIG,flower,1,3,49
6/18/2020,bishop_south,1,3,PENDIG,flower,1,5,55
6/18/2020,bishop_south,1,4,PENDIG,flower,1,1,3
6/18/2020,bishop_south,1,5,PENDIG,flower,1,1,38
6/18/2020,bishop_south,1,5,ERIANN,flower,1,5,19
6/18/2020,bishop_south,1,6,PENDIG,flower,1,2,18
6/18/2020,bishop_south,1,7,PENDIG,flower,1,2,26
6/18/2020,bishop_south,1,8,PENDIG,flower,1,1,18
6/18/2020,bishop_south,1,9,PENDIG,flower,1,5,52
6/18/2020,bishop_south,1,9,ERIANN,flower,1,1,3
6/18/2020,bishop_south,1,10,PENDIG,flower,1,2,5
6/18/2020,flag_lowden,2,1,None,na,0,0,0
6/18/2020,flag_lowden,2,2,BLECIL,whorl,19,4,94
6/18/2020,flag_lowden,2,2,CORLAN,flower,1,1,1
6/18/2020,flag_lowden,2,3,BLECIL,whorl,19,8,204
6/18/2020,flag_lowden,2,4,BLECIL,whorl,19,4,66
6/18/2020,flag_lowden,2,4,CORLAN,flower,1,1,2
6/18/2020,flag_lowden,2,5,BLECIL,whorl,19,5,131
6/18/2020,flag_lowden,2,6,BLECIL,whorl,19,7,79
6/18/2020,flag_lowden,2,6,PENDIG,flower,1,1,2
6/18/2020,flag_lowden,2,6,ERIANN,flower,1,1,1
6/18/2020,flag_lowden,2,7,BLECIL,whorl,19,7,127
6/18/2020,flag_lowden,2,7,ERIANN,flower,1,2,14
6/18/2020,flag_lowden,2,8,PENDIG,flower,1,1,19
6/18/2020,flag_lowden,2,8,HETVIL,flower,1,1,1
6/18/2020,flag_lowden,2,9,PENDIG,flower,1,na,19
6/18/2020,flag_lowden,2,9,ACHMIL,head,250,2,6
6/18/2020,flag_lowden,2,9,GEUCAN,flower,1,1,3
6/18/2020,flag_lowden,2,10,PENDIG,flower,1,2,11
6/18/2020,flag_lowden,2,10,ERIANN,flower,19,1,16
6/19/2020,sandfarm,1,1,TRIPRA,head,29,na,15
6/19/2020,sandfarm,1,1,PENDIG,flower,1,3,10
6/19/2020,sandfarm,1,2,TRIPRA,head,29,na,9
6/19/2020,sandfarm,1,2,PENDIG,flower,1,1,3
6/19/2020,sandfarm,1,3,None,na,0,0,0
6/19/2020,sandfarm,1,4,TRIPRA,head,39,na,7
6/19/2020,sandfarm,1,5,ANECYL,flower,1,1,1
6/19/2020,sandfarm,1,5,TRIPRA,head,39,na,5
6/19/2020,sandfarm,1,6,TRIPRA,head,39,na,3
6/19/2020,sandfarm,1,6,PENDIG,flower,1,1,4
6/19/2020,sandfarm,1,7,TRIHYB,head,13,na,1
6/19/2020,sandfarm,1,7,PENDIG,flower,1,3,16
6/19/2020,sandfarm,1,8,PENDIG,flower,1,4,69
6/19/2020,sandfarm,1,9,TRIPRA,head,39,2,11
6/19/2020,sandfarm,1,9,PENDIG,flower,1,na,6
6/19/2020,sandfarm,1,10,PENDIG,flower,1,3,53
6/19/2020,holland_prairie_west,1,1,ECHPAL,flower,1,2,3
6/19/2020,holland_prairie_west,1,1,ACHMIL,head,70,2,2
6/19/2020,holland_prairie_west,1,1,TRIPRA,head,24,na,1
6/19/2020,holland_prairie_west,1,2,TRIHYB,head,15,na,9
6/19/2020,holland_prairie_west,1,2,TRIREP,head,7,na,2
6/19/2020,holland_prairie_west,1,2,ECHPAL,flower,1,4,5
6/19/2020,holland_prairie_west,1,2,PENDIG,flower,1,1,3
6/19/2020,holland_prairie_west,1,3,ECHPAL,flower,1,2,2
6/19/2020,holland_prairie_west,1,4,TRIPRA,head,24,na,19
6/19/2020,holland_prairie_west,1,5,ECHPAL,flower,1,4,2
6/19/2020,holland_prairie_west,1,6,ECHPAL,flower,1,2,2
6/19/2020,holland_prairie_west,1,6,TRIPRA,head,24,na,3
6/19/2020,holland_prairie_west,1,6,BAPALB,flower,1,1,8
6/19/2020,holland_prairie_west,1,7,ECHPAL,flower,1,2,2
6/19/2020,holland_prairie_west,1,7,TRIPRA,head,24,na,9
6/19/2020,holland_prairie_west,1,7,CORPAL,flower,1,1,1
6/19/2020,holland_prairie_west,1,7,TRIHYB,head,15,na,3
6/19/2020,holland_prairie_west,1,8,TRIHYB,head,15,na,2
6/19/2020,holland_prairie_west,1,9,ECHPAL,flower,1,1,3
6/19/2020,holland_prairie_west,1,9,ACHMIL,head,70,2,4
6/19/2020,holland_prairie_west,1,9,DIAARM,flower,1,1,1
6/19/2020,holland_prairie_west,1,9,TRIHYB,head,15,na,10
6/19/2020,holland_prairie_west,1,10,ECHPAL,flower,1,1,1
6/19/2020,holland_prairie_west,1,10,TRIPRA,head,24,na,6
6/19/2020,sanders_unit,1,1,DIAARM,flower,1,1,3
6/19/2020,sanders_unit,1,1,ERISTR,flower,1,1,3
6/19/2020,sanders_unit,1,1,TRIPRA,head,32,na,10
6/19/2020,sanders_unit,1,1,PENDIG,flower,1,1,6
6/19/2020,sanders_unit,1,2,PENDIG,flower,1,1,6
6/19/2020,sanders_unit,1,3,PENDIG,flower,1,2,33
6/19/2020,sanders_unit,1,4,PENDIG,flower,1,2,9
6/19/2020,sanders_unit,1,5,None,na,0,0,0
6/19/2020,sanders_unit,1,6,None,na,0,0,0
6/19/2020,sanders_unit,1,7,PENDIG,flower,1,2,5
6/19/2020,sanders_unit,1,7,CORLAN,flower,1,1,1
6/19/2020,sanders_unit,1,8,None,na,0,0,0
6/19/2020,sanders_unit,1,9,PENDIG,flower,1,2,68
6/19/2020,sanders_unit,1,10,PENDIG,flower,1,1,4
6/19/2020,bishop_south,2,1,PENDIG,flower,1,2,12
6/19/2020,bishop_south,2,2,PENDIG,flower,1,3,40
6/19/2020,bishop_south,2,3,PENDIG,flower,1,1,3
6/19/2020,bishop_south,2,4,PENDIG,flower,1,6,40
6/19/2020,bishop_south,2,5,PENDIG,flower,1,2,33
6/19/2020,bishop_south,2,6,PENDIG,flower,1,6,56
6/19/2020,bishop_south,2,7,PENDIG,flower,1,2,43
6/19/2020,bishop_south,2,8,None,na,0,0,0
6/19/2020,bishop_south,2,9,PENDIG,flower,1,2,17
6/19/2020,bishop_south,2,10,PENDIG,flower,1,1,2
6/19/2020,bishop_south,2,10,ERIANN,flower,1,1,1
6/20/2020,sandfarm,2,1,TRIPRA,head,38,na,11
6/20/2020,sandfarm,2,1,TRIHYB,head,25,na,19
6/20/2020,sandfarm,2,1,ERISTR,flower,1,1,4
6/20/2020,sandfarm,2,2,PENDIG,flower,1,3,31
6/20/2020,sandfarm,2,2,TRIPRA,head,38,na,1
6/20/2020,sandfarm,2,3,PENDIG,flower,1,na,25
6/20/2020,sandfarm,2,4,PENDIG,flower,1,4,32
6/20/2020,sandfarm,2,4,TRAOHI,flower,1,4,9
6/20/2020,sandfarm,2,5,PENDIG,flower,1,5,4
6/20/2020,sandfarm,2,5,TRIPRA,head,38,1,3
6/20/2020,sandfarm,2,6,PENDIG,flower,1,1,33
6/20/2020,sandfarm,2,6,TRIHYB,head,25,na,3
6/20/2020,sandfarm,2,7,PENDIG,flower,1,4,16
6/20/2020,sandfarm,2,7,TRIPRA,head,38,na,2
6/20/2020,sandfarm,2,8,PENDIG,flower,1,3,15
6/20/2020,sandfarm,2,8,TRIPRA,head,38,na,4
6/20/2020,sandfarm,2,9,TRIPRA,head,38,na,8
6/20/2020,sandfarm,2,9,PENDIG,flower,1,1,1
6/20/2020,sandfarm,2,10,TRIPRA,head,38,na,8
6/22/2020,sengers,1,1,PENDIG,flower,1,1,4
6/22/2020,sengers,1,1,TRIHYB,head,18,na,10
6/22/2020,sengers,1,2,ECHPAL,flower,1,1,1
6/22/2020,sengers,1,2,TRIHYB,head,18,na,4
6/22/2020,sengers,1,2,ERISTR,flower,1,2,13
6/22/2020,sengers,1,3,TRIREP,head,7,na,1
6/22/2020,sengers,1,3,TRIHYB,head,18,na,4
6/22/2020,sengers,1,3,PENDIG,flower,1,1,1
6/22/2020,sengers,1,4,ECHPAL,flower,1,2,2
6/22/2020,sengers,1,4,PENDIG,flower,1,2,3
6/22/2020,sengers,1,4,TRIHYB,head,18,na,1
6/22/2020,sengers,1,5,PENDIG,flower,1,3,10
6/22/2020,sengers,1,6,PENDIG,flower,1,1,2
6/22/2020,sengers,1,7,TRIHYB,head,18,na,23
6/22/2020,sengers,1,7,ECHPAL,flower,1,1,2
6/22/2020,sengers,1,8,BAPALB,flower,1,1,21
6/22/2020,sengers,1,8,ECHPAL,flower,1,1,1
6/22/2020,sengers,1,8,PENDIG,flower,1,1,2
6/22/2020,sengers,1,8,HETVIL,flower,1,1,1
6/22/2020,sengers,1,9,PENDIG,flower,1,2,8
6/22/2020,sengers,1,10,TRIREP,head,7,na,5
6/22/2020,sengers,1,10,TRIHYB,head,18,na,13
6/22/2020,hook_larson,1,1,ACHMIL,head,174,1,1
6/22/2020,hook_larson,1,1,TRIPRA,head,35,na,26
6/22/2020,hook_larson,1,2,ACHMIL,head,174,2,2
6/22/2020,hook_larson,1,2,TRIPRA,head,35,na,14
6/22/2020,hook_larson,1,2,ERISTR,flower,1,2,11
6/22/2020,hook_larson,1,2,TRIHYB,head,16,na,12
6/22/2020,hook_larson,1,3,RUDHIR,flower,1,2,2
6/22/2020,hook_larson,1,3,ACHMIL,head,174,1,1
6/22/2020,hook_larson,1,3,ERISTR,flower,1,2,35
6/22/2020,hook_larson,1,3,TRIHYB,head,16,na,22
6/22/2020,hook_larson,1,4,TRIHYB,head,16,na,5
6/22/2020,hook_larson,1,5,ANECYL,flower,1,1,1
6/22/2020,hook_larson,1,6,ECHPAL,flower,1,1,2
6/22/2020,hook_larson,1,6,TRIPRA,head,35,na,14
6/22/2020,hook_larson,1,7,ACHMIL,head,174,1,2
6/22/2020,hook_larson,1,7,TRIPRA,head,35,na,11
6/22/2020,hook_larson,1,8,TRIPRA,head,35,na,27
6/22/2020,hook_larson,1,8,TRIHYB,head,16,na,11
6/22/2020,hook_larson,1,9,ECHPAL,flower,1,3,7
6/22/2020,hook_larson,1,9,TRIPRA,head,35,na,10
6/22/2020,hook_larson,1,10,ECHPAL,flower,1,2,2
6/22/2020,hook_larson,1,10,RUDHIR,flower,1,1,1
6/22/2020,hook_larson,1,10,TRIPRA,head,35,na,3
6/22/2020,hook_larson,1,10,TRIHYB,head,16,na,4
6/22/2020,hook_larson,1,10,ERISTR,flower,1,1,14
6/23/2020,holland_prairie_west,1,1,ECHPAL,flower,1,1,1
6/23/2020,holland_prairie_west,1,1,TRAOHI,flower,1,1,1
6/23/2020,holland_prairie_west,1,1,TRIPRA,head,30,na,4
6/23/2020,holland_prairie_west,1,1,PARINT,flower,1,1,26
6/23/2020,holland_prairie_west,1,2,ECHPAL,flower,1,2,4
6/23/2020,holland_prairie_west,1,2,TRIPRA,head,30,na,19
6/23/2020,holland_prairie_west,1,3,ECHPAL,flower,1,2,2
6/23/2020,holland_prairie_west,1,3,TRIPRA,head,30,na,16
6/23/2020,holland_prairie_west,1,3,TRAOHI,flower,1,1,1
6/23/2020,holland_prairie_west,1,4,TRIPRA,head,30,na,44
6/23/2020,holland_prairie_west,1,5,TRIPRA,head,30,na,11
6/23/2020,holland_prairie_west,1,6,TRIPRA,head,30,na,11
6/23/2020,holland_prairie_west,1,6,ECHPAL,flower,1,1,1
6/23/2020,holland_prairie_west,1,7,TRIPRA,head,30,na,17
6/23/2020,holland_prairie_west,1,8,TRIPRA,head,30,na,6
6/23/2020,holland_prairie_west,1,9,TRIPRA,head,30,na,3
6/23/2020,holland_prairie_west,1,9,ECHPAL,flower,1,1,1
6/23/2020,holland_prairie_west,1,10,TRIPRA,head,30,na,6
6/23/2020,holland_prairie_west,1,10,TRAOHI,flower,1,1,2
6/23/2020,sengers,2,1,TRAOHI,flower,1,1,6
6/23/2020,sengers,2,1,TRIHYB,head,19,na,19
6/23/2020,sengers,2,1,ERISTR,flower,1,5,42
6/23/2020,sengers,2,2,ERIANN,flower,1,12,92
6/23/2020,sengers,2,2,TRIHYB,head,19,na,1
6/23/2020,sengers,2,3,ERISTR,flower,1,5,24
6/23/2020,sengers,2,3,TRIHYB,head,19,na,3
6/23/2020,sengers,2,3,TRIPRA,head,33,na,8
6/23/2020,sengers,2,4,TRIHYB,head,19,na,9
6/23/2020,sengers,2,4,RUDHIR,flower,1,1,2
6/23/2020,sengers,2,4,ERISTR,flower,1,2,11
6/23/2020,sengers,2,4,ANECYL,flower,1,1,1
6/23/2020,sengers,2,5,ERISTR,flower,1,2,6
6/23/2020,sengers,2,6,TRAOHI,flower,1,1,3
6/23/2020,sengers,2,6,PENDIG,flower,1,1,1
6/23/2020,sengers,2,6,ERIANN,flower,1,1,9
6/23/2020,sengers,2,6,ERISTR,flower,1,1,5
6/23/2020,sengers,2,7,ERISTR,flower,1,1,9
6/23/2020,sengers,2,7,TRIHYB,head,19,na,36
6/23/2020,sengers,2,8,None,na,0,0,0
6/23/2020,sengers,2,9,TRAOHI,flower,1,3,8
6/23/2020,sengers,2,9,TRIHYB,head,19,na,13
6/23/2020,sengers,2,9,ECHPAL,flower,1,1,2
6/23/2020,sengers,2,9,PENDIG,flower,1,2,7
6/23/2020,sengers,2,10,TRAOHI,flower,1,1,4
6/23/2020,sengers,2,10,TRIHYB,head,19,na,6
6/24/2020,main_unit_knobs,1,1,ECHPAL,flower,1,1,7
6/24/2020,main_unit_knobs,1,1,CORPAL,flower,1,na,3
6/24/2020,main_unit_knobs,1,2,None,na,0,0,0
6/24/2020,main_unit_knobs,1,3,ECHPAL,flower,1,1,4
6/24/2020,main_unit_knobs,1,4,ECHPAL,flower,1,2,8
6/24/2020,main_unit_knobs,1,5,None,na,0,0,0
6/24/2020,main_unit_knobs,1,6,TRIHYB,head,11,na,7
6/24/2020,main_unit_knobs,1,7,ACHMIL,head,159,1,1
6/24/2020,main_unit_knobs,1,8,ERISTR,flower,1,3,36
6/24/2020,main_unit_knobs,1,9,ERISTR,flower,1,2,129
6/24/2020,main_unit_knobs,1,10,ACHMIL,head,159,1,1
6/24/2020,main_unit_knobs,1,10,ERISTR,flower,1,5,255
6/24/2020,schafer_knob,1,1,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,2,ECHPAL,flower,1,2,2
6/24/2020,schafer_knob,1,3,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,4,TRIPRA,head,21,na,4
6/24/2020,schafer_knob,1,5,TRIPRA,head,21,na,17
6/24/2020,schafer_knob,1,5,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,5,ANECYL,flower,1,1,2
6/24/2020,schafer_knob,1,6,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,7,TRIPRA,head,21,na,32
6/24/2020,schafer_knob,1,7,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,7,TRAOHI,flower,1,1,2
6/24/2020,schafer_knob,1,7,DIAARM,flower,1,1,2
6/24/2020,schafer_knob,1,8,TRIPRA,head,21,na,21
6/24/2020,schafer_knob,1,8,ECHPAL,flower,1,1,1
6/24/2020,schafer_knob,1,8,ANECYL,flower,1,1,1
6/24/2020,schafer_knob,1,8,TRIHYB,head,16,na,1
6/24/2020,schafer_knob,1,9,TRIPRA,head,21,na,7
