Date,Site,Quadrat,Bare,Rocky,Litter,Grass,Forb,Litter Depth
7/9/2020,doug_dot_unit,10,0,0,0,45,55,2
7/9/2020,doug_dot_unit,7,30,0,5,10,55,1
7/9/2020,doug_dot_unit,1,40,0,5,30,25,0
7/9/2020,doug_dot_unit,4,5,0,0,70,25,0
7/15/2020,dougs_knob,7,0,0,0,20,80,6
7/15/2020,dougs_knob,9,5,0,0,60,35,6
7/15/2020,dougs_knob,1,5,0,0,55,40,4
7/15/2020,dougs_knob,6,0,0,5,25,70,4
7/15/2020,dougs_knob,10,0,0,5,45,45,3
7/15/2020,dougs_knob,3,0,0,5,60,35,2
7/15/2020,dougs_knob,5,20,10,5,45,20,1
7/15/2020,dougs_knob,8,0,0,0,15,85,1
7/15/2020,dougs_knob,2,0,0,5,40,55,0
7/15/2020,dougs_knob,4,10,5,5,50,30,0
7/8/2020,east_heinkel,8,0,0,10,50,40,3
7/8/2020,east_heinkel,2,15,0,5,45,35,2
7/8/2020,east_heinkel,4,0,0,5,15,80,2
7/8/2020,east_heinkel,6,0,0,15,20,65,2
7/8/2020,east_heinkel,7,0,0,5,15,80,2
7/8/2020,east_heinkel,1,5,0,0,50,45,1
7/8/2020,east_heinkel,9,0,0,5,80,15,1
7/8/2020,east_heinkel,10,0,0,10,30,60,1
7/8/2020,east_heinkel,3,40,5,10,20,25,0
7/8/2020,east_heinkel,5,0,0,15,20,65,0
7/9/2020,east_heinkel,6,0,0,5,20,75,3
7/9/2020,east_heinkel,2,0,0,10,15,75,2
7/9/2020,east_heinkel,3,0,0,15,10,75,2
7/9/2020,east_heinkel,4,5,0,15,25,55,2
7/9/2020,east_heinkel,5,0,0,10,45,45,2
7/9/2020,east_heinkel,7,10,0,5,25,60,2
7/9/2020,east_heinkel,9,5,0,5,25,65,2
7/9/2020,east_heinkel,1,0,0,10,10,80,1
7/9/2020,east_heinkel,8,10,0,5,45,40,1
7/9/2020,east_heinkel,10,15,0,5,15,65,1
7/23/2020,flag_lowden,9,20,0,0,15,65,2
7/23/2020,flag_lowden,2,15,0,10,40,35,1
7/23/2020,flag_lowden,3,15,0,15,25,45,1
7/23/2020,flag_lowden,6,0,0,5,80,15,1
7/23/2020,flag_lowden,1,0,0,30,15,55,0
7/23/2020,flag_lowden,4,20,0,5,25,50,0
7/23/2020,flag_lowden,5,25,0,5,35,35,0
7/23/2020,flag_lowden,7,10,0,0,80,10,0
7/23/2020,flag_lowden,8,20,0,0,40,40,0
7/23/2020,flag_lowden,10,0,0,10,45,45,0
7/13/2020,gobbler_ridge,2,0,0,10,25,65,22
7/13/2020,gobbler_ridge,1,0,0,5,55,40,15
7/13/2020,gobbler_ridge,4,0,0,10,60,30,14
7/13/2020,gobbler_ridge,6,0,0,0,25,75,14
7/13/2020,gobbler_ridge,3,0,0,5,70,25,11
7/13/2020,gobbler_ridge,10,0,0,10,70,20,8
7/13/2020,gobbler_ridge,5,0,0,10,70,20,7
7/13/2020,gobbler_ridge,8,0,0,15,60,25,4
7/13/2020,gobbler_ridge,7,0,0,5,45,50,3
7/13/2020,gobbler_ridge,9,5,0,5,80,10,1
7/22/2020,holland_prairie_west,1,0,0,0,5,95,0
7/22/2020,holland_prairie_west,2,10,0,0,5,85,0
7/22/2020,holland_prairie_west,3,10,0,0,10,80,0
7/22/2020,holland_prairie_west,4,0,0,0,5,95,0
7/22/2020,holland_prairie_west,5,5,0,0,0,95,0
7/22/2020,holland_prairie_west,6,0,0,0,20,80,0
7/22/2020,holland_prairie_west,7,5,0,0,60,35,0
7/22/2020,holland_prairie_west,8,0,0,0,30,70,0
7/22/2020,holland_prairie_west,9,5,0,0,5,90,0
7/22/2020,holland_prairie_west,10,5,0,0,25,70,0
7/20/2020,hook_larson,1,15,0,0,45,40,0
7/20/2020,hook_larson,2,0,0,0,60,40,0
7/20/2020,hook_larson,3,5,0,0,65,30,0
7/20/2020,hook_larson,4,10,0,0,60,25,0
7/20/2020,hook_larson,5,15,0,0,70,15,0
7/20/2020,hook_larson,6,10,0,0,70,20,0
7/20/2020,hook_larson,7,5,0,0,5,90,0
7/20/2020,hook_larson,8,20,0,0,35,45,0
7/20/2020,hook_larson,9,10,0,0,20,70,0
7/20/2020,hook_larson,10,5,0,0,70,25,0
7/22/2020,hook_larson,1,0,0,0,45,55,0
7/22/2020,hook_larson,2,0,0,0,40,60,0
7/22/2020,hook_larson,3,0,0,0,15,85,0
7/22/2020,hook_larson,4,0,0,0,45,55,0
7/22/2020,hook_larson,5,0,0,0,15,85,0
7/22/2020,hook_larson,6,5,0,0,30,65,0
7/22/2020,hook_larson,7,0,0,0,20,80,0
7/22/2020,hook_larson,8,0,0,0,0,100,0
7/22/2020,hook_larson,9,0,0,0,0,100,0
7/22/2020,hook_larson,10,0,0,0,15,85,0
7/16/2020,isabells_knob,1,0,0,0,60,40,11
7/16/2020,isabells_knob,5,0,0,0,65,35,9
7/16/2020,isabells_knob,10,0,0,0,45,55,6
7/16/2020,isabells_knob,8,0,0,0,80,20,4
7/16/2020,isabells_knob,3,0,0,0,55,45,3
7/16/2020,isabells_knob,4,10,0,0,70,20,1
7/16/2020,isabells_knob,6,15,0,0,55,30,1
7/16/2020,isabells_knob,2,0,0,0,40,60,0
7/16/2020,isabells_knob,7,0,0,0,80,20,0
7/16/2020,isabells_knob,9,0,0,5,50,45,0
7/16/2020,kittentail_knob,9,0,0,0,35,65,3
7/16/2020,kittentail_knob,10,0,0,10,45,45,2
7/16/2020,kittentail_knob,5,5,0,0,60,35,1
7/16/2020,kittentail_knob,1,0,0,0,70,30,0
7/16/2020,kittentail_knob,2,0,0,0,70,30,0
7/16/2020,kittentail_knob,3,0,0,0,55,45,0
7/16/2020,kittentail_knob,4,0,0,0,50,50,0
7/16/2020,kittentail_knob,6,0,0,10,30,60,0
7/16/2020,kittentail_knob,7,0,0,0,20,80,0
7/16/2020,kittentail_knob,8,0,0,5,40,55,0
7/28/2020,naylor_road,4,0,0,0,20,80,7
7/28/2020,naylor_road,3,5,0,0,70,20,3
7/28/2020,naylor_road,8,5,0,10,35,50,3
7/28/2020,naylor_road,10,0,0,5,65,30,3
7/28/2020,naylor_road,2,0,0,5,70,25,2
7/28/2020,naylor_road,9,0,0,5,55,40,2
7/28/2020,naylor_road,1,0,0,10,30,60,1
7/28/2020,naylor_road,5,0,0,0,55,45,1
7/28/2020,naylor_road,6,15,0,0,15,60,1
7/28/2020,naylor_road,7,0,0,0,55,45,0
7/29/2020,no_name_knob,9,5,0,0,40,55,2
7/29/2020,no_name_knob,2,0,0,0,60,40,1
7/29/2020,no_name_knob,4,0,0,0,85,15,1
7/29/2020,no_name_knob,7,0,0,0,80,20,1
7/29/2020,no_name_knob,10,0,0,0,75,25,1
7/29/2020,no_name_knob,1,10,0,0,40,50,0
7/29/2020,no_name_knob,3,5,0,0,90,5,0
7/29/2020,no_name_knob,5,0,0,0,90,10,0
7/29/2020,no_name_knob,6,10,0,0,85,5,0
7/29/2020,no_name_knob,8,0,0,0,90,10,0
7/8/2020,prairie_potholes,2,5,0,5,35,65,9
7/8/2020,prairie_potholes,6,0,0,10,25,65,3
7/8/2020,prairie_potholes,8,0,0,5,20,75,3
7/8/2020,prairie_potholes,1,10,0,5,50,35,2
7/8/2020,prairie_potholes,3,5,0,10,45,40,2
7/8/2020,prairie_potholes,4,0,0,5,40,55,2
7/8/2020,prairie_potholes,7,0,0,5,20,75,2
7/8/2020,prairie_potholes,9,0,0,15,60,15,2
7/8/2020,prairie_potholes,5,0,0,15,10,75,1
7/8/2020,prairie_potholes,10,15,0,5,35,45,1
7/10/2020,sandfarm,10,0,0,25,65,10,16
7/10/2020,sandfarm,9,0,0,5,45,50,11
7/10/2020,sandfarm,7,0,0,15,60,25,10
7/10/2020,sandfarm,4,0,0,5,70,25,9
7/10/2020,sandfarm,5,0,0,5,65,30,7
7/10/2020,sandfarm,8,0,0,5,80,15,6
7/10/2020,sandfarm,2,0,0,5,75,20,5
7/10/2020,sandfarm,1,0,0,5,60,35,3
7/10/2020,sandfarm,3,0,0,10,65,25,3
7/10/2020,sandfarm,6,5,0,15,55,25,0
7/9/2020,schafer_knob,4,5,0,5,70,20,3
7/9/2020,schafer_knob,5,0,0,5,40,55,1
7/9/2020,schafer_knob,6,0,0,0,70,30,1
7/9/2020,schafer_knob,7,5,0,0,25,70,1
7/9/2020,schafer_knob,9,0,0,0,30,70,1
7/9/2020,schafer_knob,1,0,0,5,40,55,0
7/9/2020,schafer_knob,2,0,0,15,55,30,0
7/9/2020,schafer_knob,3,0,0,10,50,40,0
7/9/2020,schafer_knob,8,0,0,0,60,40,0
7/9/2020,schafer_knob,10,0,0,5,70,25,0
7/27/2020,senger,10,0,0,5,30,65,7
7/27/2020,senger,3,0,0,0,5,95,2
7/27/2020,senger,5,0,0,10,5,885,1
7/27/2020,senger,8,0,0,0,30,70,1
7/27/2020,senger,9,0,0,0,20,80,1
7/27/2020,senger,1,0,0,15,15,60,0
7/27/2020,senger,2,10,0,0,10,80,0
7/27/2020,senger,4,0,0,0,15,85,0
7/27/2020,senger,6,0,0,5,20,75,0
7/27/2020,senger,7,0,0,0,20,80,0
7/13/2020,seven_knobs,7,0,0,5,75,20,7
7/13/2020,seven_knobs,10,0,0,40,5,55,6
7/13/2020,seven_knobs,1,15,0,5,60,20,2
7/13/2020,seven_knobs,5,10,0,5,50,35,2
7/13/2020,seven_knobs,6,0,0,0,80,20,1
7/13/2020,seven_knobs,9,0,0,0,20,80,1
7/13/2020,seven_knobs,2,10,10,5,55,20,0
7/13/2020,seven_knobs,3,30,10,0,45,15,0
7/13/2020,seven_knobs,4,15,10,0,55,20,0
7/13/2020,seven_knobs,8,15,5,5,50,25,0
7/10/2020,stone_barn_prairie,4,0,0,10,25,65,6
7/10/2020,stone_barn_prairie,1,0,0,5,60,35,5
7/10/2020,stone_barn_prairie,2,0,0,15,15,70,3
7/10/2020,stone_barn_prairie,8,0,0,0,60,40,3
7/10/2020,stone_barn_prairie,9,0,0,5,25,70,3
7/10/2020,stone_barn_prairie,10,0,0,0,20,80,3
7/10/2020,stone_barn_prairie,3,0,0,5,20,75,2
7/10/2020,stone_barn_prairie,5,0,0,0,15,85,2
7/10/2020,stone_barn_prairie,6,0,0,5,30,65,1
7/10/2020,stone_barn_prairie,7,10,0,5,20,65,1
7/14/2020,thelma_carpenter,4,0,0,5,75,20,17
7/14/2020,thelma_carpenter,1,0,0,5,55,40,12
7/14/2020,thelma_carpenter,10,0,0,0,65,30,12
7/14/2020,thelma_carpenter,6,0,0,25,50,25,9
7/14/2020,thelma_carpenter,9,0,0,10,65,25,9
7/14/2020,thelma_carpenter,2,0,0,0,95,5,6
7/14/2020,thelma_carpenter,3,0,0,5,55,40,5
7/14/2020,thelma_carpenter,5,0,0,20,30,50,4
7/14/2020,thelma_carpenter,8,0,0,5,75,20,3
7/14/2020,thelma_carpenter,7,0,10,25,35,30,2
7/22/2020,trap_release_prairie,6,0,0,0,30,70,2
7/22/2020,trap_release_prairie,1,0,0,10,10,80,1
7/22/2020,trap_release_prairie,4,0,0,0,40,60,1
7/22/2020,trap_release_prairie,9,0,0,0,40,60,1
7/22/2020,trap_release_prairie,10,0,0,0,55,45,1
7/22/2020,trap_release_prairie,2,0,0,0,20,80,0
7/22/2020,trap_release_prairie,3,0,0,0,30,70,0
7/22/2020,trap_release_prairie,5,0,0,0,35,65,0
7/22/2020,trap_release_prairie,7,0,0,0,85,15,0
7/22/2020,trap_release_prairie,8,0,0,0,70,30,0
7/16/2020,west_hienkel,2,0,0,0,25,75,5
7/16/2020,west_hienkel,10,0,0,0,55,45,4
7/16/2020,west_hienkel,1,0,0,0,35,65,2
7/16/2020,west_hienkel,3,0,0,0,30,70,2
7/16/2020,west_hienkel,7,5,0,0,40,55,1
7/16/2020,west_hienkel,4,0,0,0,25,75,0
7/16/2020,west_hienkel,5,10,0,0,45,45,0
7/16/2020,west_hienkel,6,0,0,0,80,20,0
7/16/2020,west_hienkel,8,15,0,0,60,25,0
7/16/2020,west_hienkel,9,15,0,0,60,25,0
8/3/2020,holland_prairie_east,1,0,0,0,10,90,0
8/3/2020,holland_prairie_east,2,0,0,0,10,90,1
8/3/2020,holland_prairie_east,3,0,0,0,0,100,0
8/3/2020,holland_prairie_east,4,15,0,5,5,75,2
8/3/2020,holland_prairie_east,5,55,0,10,0,35,0
8/3/2020,holland_prairie_east,6,5,0,0,0,95,0
8/3/2020,holland_prairie_east,7,15,0,0,0,85,0
8/3/2020,holland_prairie_east,8,0,0,0,0,100,7
8/3/2020,holland_prairie_east,9,0,0,0,10,90,4
8/3/2020,holland_prairie_east,10,20,0,15,0,65,0
8/3/2020,coneflower_trash_knob,1,0,0,5,55,40,0
8/3/2020,coneflower_trash_knob,2,20,0,5,15,60,0
8/3/2020,coneflower_trash_knob,3,5,0,15,55,25,0
8/3/2020,coneflower_trash_knob,4,0,0,15,50,35,0
8/3/2020,coneflower_trash_knob,5,5,0,5,75,15,0
8/3/2020,coneflower_trash_knob,6,5,0,10,70,15,0
8/3/2020,coneflower_trash_knob,7,0,0,5,70,25,0
8/3/2020,coneflower_trash_knob,8,5,0,5,35,55,0
8/3/2020,coneflower_trash_knob,9,0,0,10,60,30,1
8/3/2020,coneflower_trash_knob,10,5,0,0,85,10,0
8/7/2020,sanders_unit,1,0,0,0,20,80,0
8/7/2020,sanders_unit,2,0,0,0,15,85,2
8/7/2020,sanders_unit,3,0,0,0,15,85,3
8/7/2020,sanders_unit,4,0,0,0,15,85,1
8/7/2020,sanders_unit,5,0,0,5,10,85,0
8/7/2020,sanders_unit,6,0,0,0,25,75,2
8/7/2020,sanders_unit,7,0,0,0,80,20,3
8/7/2020,sanders_unit,8,0,0,0,40,60,3
8/7/2020,sanders_unit,9,0,0,0,20,80,2
8/7/2020,sanders_unit,10,0,0,5,10,85,5
