Unique_ID,date,site,visit_number,surveyor,survery_start,survey_end,temp,start_sky,end_sky,bee_species,sex,flower_species,marked?,gps_point,notes
Nachusa2020_0027,6/17/2020,naylor_road,1,CRD,11:43:00 AM,12:04:00 PM,82,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0028,6/17/2020,naylor_road,1,CRD,11:43:00 AM,12:04:00 PM,82,2,2,bimaculatus,Female,PENDIG,No,na,
Nachusa2020_0029,6/17/2020,big_jump_east,1,CRD,2:32:00 PM,2:56:00 PM,85,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0030,6/17/2020,big_jump_east,1,CRD,2:32:00 PM,2:56:00 PM,85,2,2,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0031,6/17/2020,big_jump_east,1,CRD,2:32:00 PM,2:56:00 PM,85,2,2,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0032,6/17/2020,big_jump_east,1,CRD,2:32:00 PM,2:56:00 PM,85,2,2,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0033,6/17/2020,big_jump_east,1,CRD,2:32:00 PM,2:56:00 PM,85,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0034,6/18/2020,prairie_potholes,1,CRD,9:19:00 AM,9:44:00 AM,78,1,1,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0035,6/18/2020,prairie_potholes,1,CRD,9:19:00 AM,9:44:00 AM,78,1,1,impatiens,Female,PENDIG,No,na,
Nachusa2020_0036,6/18/2020,prairie_potholes,1,CRD,9:19:00 AM,9:44:00 AM,78,1,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0037,6/18/2020,prairie_potholes,1,CRD,9:19:00 AM,9:44:00 AM,78,1,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0038,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0039,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,impatiens,Female,ECHPAL,No,na,
Nachusa2020_0040,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0041,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0042,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0043,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0044,6/18/2020,east_heinkel,1,CRD,10:39:00 AM,11:11:00 AM,82,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0045,6/18/2020,flag_lowden,1,CRD,1:25:00 PM,1:50:00 PM,85,1,1,impatiens,Female,BLECIL,No,na,
Nachusa2020_0046,6/18/2020,flag_lowden,1,CRD,1:25:00 PM,1:50:00 PM,85,1,1,impatiens,Female,BLECIL,No,na,
Nachusa2020_0047,6/18/2020,flag_lowden,1,CRD,1:25:00 PM,1:50:00 PM,85,1,1,bimaculatus,Female,BLECIL,No,na,
Nachusa2020_0048,6/18/2020,flag_lowden,1,CRD,1:25:00 PM,1:50:00 PM,85,1,1,impatiens,Female,BLECIL,No,na,
Nachusa2020_0049,6/18/2020,flag_lowden,1,CRD,1:25:00 PM,1:50:00 PM,85,1,1,impatiens,Female,BLECIL,No,na,
Nachusa2020_0050,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,impatiens,Female,PENDIG,No,na,
Nachusa2020_0051,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,bimaculatus,Female,PENDIG,No,na,
Nachusa2020_0052,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,affinis,Female,PENDIG,No,na,photo 004; first of the season :)
Nachusa2020_0053,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,auri/pens,Female,PENDIG,No,na,photo 005; Queen; JOHN ASCHER thinks its pensylvanicus 
Nachusa2020_0054,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,auricomus,Female,PENDIG,No,na,Queen
Nachusa2020_0055,6/18/2020,bishop_south,1,CRD,2:44:00 PM,3:16:00 PM,87,2,1,auricomus,Female,PENDIG,No,na,Queen
Nachusa2020_0056,6/19/2020,sandfarm,1,CRD,3:07:00 PM,3:33:00 PM,88,2,2,impatiens,Female,TRIPRA,No,na,Queen
Nachusa2020_0057,6/19/2020,sandfarm,1,CRD,3:07:00 PM,3:33:00 PM,88,2,2,impatiens,Female,TRIPRA,No,na,Queen
Nachusa2020_0058,6/19/2020,sandfarm,1,CRD,3:07:00 PM,3:33:00 PM,88,2,2,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0059,6/19/2020,sandfarm,1,CRD,3:07:00 PM,3:33:00 PM,88,2,2,fervidus,Female,PENDIG,No,na,photo 009
Nachusa2020_0060,6/19/2020,sandfarm,1,CRD,3:07:00 PM,3:33:00 PM,88,2,2,griseocollis,Female,TRIHYB,No,na,
Nachusa2020_0061,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,auricomus,Female,TRIPRA,No,na,Queen
Nachusa2020_0062,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0063,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0064,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,auricomus,Female,TRIPRA,No,na,Queen
Nachusa2020_0065,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0066,6/19/2020,holland_prairie_west,1,CRD,11:02:00 AM,11:29:00 AM,83,2,2,griseocollis,Female,TRIHYB,No,na,
Nachusa2020_0067,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0068,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0069,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0070,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0071,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,VERY orange pollen; photo 007
Nachusa2020_0072,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0073,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0074,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,vagans,Female,PENDIG,No,na,photo 008
Nachusa2020_0075,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,TRIHYB,No,na,
Nachusa2020_0076,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0077,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0078,6/19/2020,sanders_unit,1,CRD,1:25:00 PM,1:59:00 PM,89,2,2,griseocollis,Female,TRIHYB,No,na,
Nachusa2020_0079,6/19/2020,bishop_south,2,CRD,9:45:00 AM,10:08:00 AM,82,2,2,fervidus,Female,PENDIG,No,na,"black face, long cheek, T1-T3 yellow but worn. Thorax yellow, black, yellow. photo #006 *BEE KING John Ascher ID as fervidus*"
Nachusa2020_0080,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0081,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0082,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,vagans,Female,TRIPRA,No,na,
Nachusa2020_0083,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0084,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0085,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0086,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,vagans,Female,TRAOHI,No,na,
Nachusa2020_0087,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0088,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0089,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0090,6/20/2020,sandfarm,2,CRD,9:09:00 AM,9:34:00 AM,80,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0091,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0092,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0093,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,bimaculatus,Female,TRIHYB,No,na,Queen
Nachusa2020_0094,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,impatiens,Female,TRIPRA,No,na,Queen
Nachusa2020_0095,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,auri/pens,Female,TRIPRA,No,na,
Nachusa2020_0096,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0097,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,auri/pens,Female,BAPALB,No,na,
Nachusa2020_0098,6/22/2020,sengers,1,CRD,3:36:00 PM,4:04:00 PM,77,2,2,pensylvanicus,Female,BAPALB,No,na,photo #011
Nachusa2020_0099,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0100,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0101,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0102,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,TRIHYB,No,na,
Nachusa2020_0103,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0104,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,TRIHYB,No,na,
Nachusa2020_0105,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0106,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,ECHPAL,No,na,
Nachusa2020_0107,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0108,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0109,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0110,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0111,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0112,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,bimaculatus,Female,ECHPAL,No,na,
Nachusa2020_0113,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0114,6/22/2020,hook_larson,1,CRD,2:24:00 PM,2:55:00 PM,75,2,2,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0115,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0116,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0117,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0118,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0119,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,auricomus,Female,TRIPRA,No,na,yellow face; T2-T3 yellow
Nachusa2020_0120,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0121,6/23/2020,holland_prairie_west,1,CRD,12:27:00 PM,12:52:00 PM,73,2,2,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0122,6/23/2020,sengers,2,CRD,11:19:00 AM,11:43:00 AM,70,1,2,auricomus,Female,BAPALB,No,na,photo #012
Nachusa2020_0123,6/23/2020,sengers,2,CRD,11:19:00 AM,11:43:00 AM,70,1,2,griseocollis,Female,TRIHYB,No,na,photo #013
Nachusa2020_0124,6/23/2020,sengers,2,CRD,11:19:00 AM,11:43:00 AM,70,1,2,auri/pens,Female,TRIREP,No,na,
Nachusa2020_0125,6/24/2020,main_unit_knobs,1,CRD,10:45:00 AM,11:06:00 AM,73,1,1,impatiens,Female,ECHPAL,No,na,
Nachusa2020_0126,6/24/2020,main_unit_knobs,1,CRD,10:45:00 AM,11:06:00 AM,73,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0127,6/24/2020,main_unit_knobs,1,CRD,10:45:00 AM,11:06:00 AM,73,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0128,6/24/2020,main_unit_knobs,1,CRD,10:45:00 AM,11:06:00 AM,73,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0129,6/24/2020,schafer_knob,1,CRD,11:40:00 AM,12:08:00 PM,74,1,1,griseocollis,Female,CEAAME,No,na,
Nachusa2020_0130,6/24/2020,schafer_knob,1,CRD,11:40:00 AM,12:08:00 PM,74,1,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0131,6/24/2020,schafer_knob,1,CRD,11:40:00 AM,12:08:00 PM,74,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0132,6/25/2020,clear_creek_south,1,CRD,9:51:00 AM,10:15:00 AM,73,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0133,6/25/2020,clear_creek_south,1,CRD,9:51:00 AM,10:15:00 AM,73,2,2,impatiens,Female,PENDIG,No,na,
Nachusa2020_0134,6/25/2020,clear_creek_south,1,CRD,9:51:00 AM,10:15:00 AM,73,2,2,bimaculatus,Female,PENDIG,No,na,photo #014
Nachusa2020_0135,6/25/2020,doug_dot_unit,1,CRD,11:00:00 AM,11:20:00 AM,77,1,1,griseocollis,Female,BAPALB,No,na,
Nachusa2020_0136,6/25/2020,seven_knobs,1,CRD,12:08:00 PM,12:34:00 PM,81,1,1,auricomus,Female,TRIPRA,No,na,photo #015
Nachusa2020_0137,6/25/2020,seven_knobs,1,CRD,12:08:00 PM,12:34:00 PM,81,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0138,6/25/2020,seven_knobs,1,CRD,12:08:00 PM,12:34:00 PM,81,1,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0139,6/25/2020,seven_knobs,1,CRD,12:08:00 PM,12:34:00 PM,81,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0140,6/25/2020,seven_knobs,1,CRD,12:08:00 PM,12:34:00 PM,81,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0141,6/25/2020,coneflower_trash_knob,1,CRD,1:15:00 PM,1:41:00 PM,84,1,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0142,6/25/2020,coneflower_trash_knob,1,CRD,1:15:00 PM,1:41:00 PM,84,1,2,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0143,6/25/2020,coneflower_trash_knob,1,CRD,1:15:00 PM,1:41:00 PM,84,1,2,auricomus,Female,TRIPRA,No,na,photo #016
Nachusa2020_0144,6/25/2020,coneflower_trash_knob,1,CRD,1:15:00 PM,1:41:00 PM,84,1,2,auricomus,Female,TRIPRA,No,na,photo #017
Nachusa2020_0145,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0146,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0147,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,auricomus,Female,TRIPRA,No,na,photo #018; Queen
Nachusa2020_0148,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0149,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0150,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0151,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,auricomus,Female,TRIPRA,No,na,photo #019; Queen
Nachusa2020_0152,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0153,6/25/2020,stone_barn_prairie,1,CRD,3:07:00 PM,3:33:00 PM,82,2,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0154,6/26/2020,big_woods,1,CRD,12:26:00 PM,12:51:00 PM,73,2,2,impatiens,Female,ECHPAL,No,na,
Nachusa2020_0155,6/26/2020,big_woods,1,CRD,12:26:00 PM,12:51:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,photo #020
Nachusa2020_0156,6/26/2020,big_woods,1,CRD,12:26:00 PM,12:51:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,photo #021; Inaturalist ID
Nachusa2020_0157,6/26/2020,big_woods,1,CRD,12:26:00 PM,12:51:00 PM,73,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0158,6/26/2020,big_woods,1,CRD,12:26:00 PM,12:51:00 PM,73,2,2,vagans,Female,ECHPAL,No,na,photo #022
Nachusa2020_0159,6/26/2020,thelma_carpenter,1,CRD,2:16:00 PM,2:39:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0160,6/26/2020,thelma_carpenter,1,CRD,2:16:00 PM,2:39:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0161,6/26/2020,thelma_carpenter,1,CRD,2:16:00 PM,2:39:00 PM,75,2,2,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0162,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,photo #023
Nachusa2020_0163,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0164,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,impatiens,Female,TRIPRA,No,na,photo #024
Nachusa2020_0165,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0166,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0167,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,bimaculatus,Female,TRIPRA,No,na,photo #025
Nachusa2020_0168,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,impatiens,Female,TRIPRA,No,na,
Nachusa2020_0169,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0170,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0171,6/27/2020,oak_island,2,CRD,9:03:00 AM,9:30:00 AM,76,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0172,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,auricomus,Female,BAPALB,No,na,photo #026
Nachusa2020_0173,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,auricomus,Female,BAPALB,No,na,photo #027
Nachusa2020_0174,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,auricomus,Female,ECHPAL,No,na,photo #028
Nachusa2020_0175,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0176,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,griseocollis,Female,ECHPAL,No,na,
Nachusa2020_0177,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,impatiens,Female,TRIHYB,No,na,
Nachusa2020_0178,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,vagans,Female,TRIHYB,No,na,photo #029
Nachusa2020_0179,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,impatiens,Female,TRIHYB,No,na,
Nachusa2020_0180,6/27/2020,eight_oaks,1,CRD,10:26:00 AM,10:53:00 AM,79,1,1,bimaculatus,Female,RUDHIR,No,na,
